"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)"
"Dimension: Environmental sustainability"
"SDG 9.4 By 2030, upgrade infrastructure and retrofit industries to make them sustainable, with increased resource-use efficiency and greater adoption of clean and environmentally sound technologies and industrial processes, with all countries taking action in accordance with their respective capabilities"
"Definition: Human-originated carbon dioxide emissions stemming from the burning of fossil fuels, gas flaring and cement manufacture, expressed in kilograms per unit of gross domestic product (GDP) in constant 2010 US dollars. Carbon dioxide emitted by forest biomass through depletion of forest areas is included."
"Source: United Nations Statistics Division (2020a). Global SDG Indicators Database. https://unstats.un.org/sdgs/indicators/database/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"29"," Estonia","0.69","","0.57","","0.65","","0.57","","0.51","","0.57","","0.51","","0.44","","0.43","","0.43",""
"173"," Ethiopia","0.08","","0.08","","0.06","","0.07","","0.06","","0.07","","0.08","","0.07","","0.07","","0.07",""
"11"," Finland","0.31","","0.28","","0.30","","0.26","","0.23","","0.24","","0.22","","0.20","","0.21","","0.19",""
"26"," France","0.18","","0.17","","0.15","","0.14","","0.14","","0.14","","0.12","","0.12","","0.12","","0.12",""
"119"," Gabon","0.07","","0.07","","0.11","","0.11","","0.11","","0.11","","0.11","","0.10","","0.10","","0.10",""
"61"," Georgia","0.33","","0.20","","0.19","","0.21","","0.22","","0.22","","0.24","","0.26","","0.26","","0.25",""
"6"," Germany","0.28","","0.26","","0.24","","0.22","","0.22","","0.23","","0.21","","0.21","","0.21","","0.20",""
"138"," Ghana","0.12","","0.12","","0.14","","0.13","","0.14","","0.14","","0.13","","0.14","","0.12","","0.12",""
"32"," Greece","0.33","","0.30","","0.27","","0.29","","0.29","","0.27","","0.26","","0.25","","0.25","","0.24",""
"127"," Guatemala","0.12","","0.13","","0.11","","0.10","","0.11","","0.11","","0.11","","0.13","","0.14","","0.13",""
"170"," Haiti","0.10","","0.14","","0.14","","0.14","","0.13","","0.13","","0.16","","0.18","","0.18","","0.18",""
"132"," Honduras","0.21","","0.27","","0.24","","0.25","","0.25","","0.25","","0.23","","0.25","","0.23","","0.23",""
"4"," Hong Kong, China (SAR)","0.18","","0.15","","0.13","","0.13","","0.13","","0.13","","0.13","","0.12","","0.11","","0.11",""
"40"," Hungary","0.30","","0.25","","0.22","","0.21","","0.20","","0.18","","0.17","","0.18","","0.18","","0.18",""
"4"," Iceland","0.22","","0.19","","0.15","","0.15","","0.14","","0.15","","0.15","","0.14","","0.13","","0.14",""
"131"," India","0.34","","0.30","","0.30","","0.29","","0.30","","0.29","","0.30","","0.28","","0.26","","0.26",""
"107"," Indonesia","0.21","","0.21","","0.18","","0.18","","0.18","","0.18","","0.18","","0.17","","0.17","","0.17",""
"70"," Iran (Islamic Republic of)","0.37","","0.39","","0.38","","0.38","","0.41","","0.43","","0.43","","0.43","","0.38","","0.38",""
"123"," Iraq","0.25","","0.25","","0.27","","0.27","","0.27","","0.27","","0.28","","0.25","","0.24","","0.24",""
"2"," Ireland","0.27","","0.23","","0.20","","0.17","","0.17","","0.17","","0.15","","0.13","","0.12","","0.11",""
"19"," Israel","0.34","","0.33","","0.31","","0.29","","0.31","","0.26","","0.24","","0.24","","0.23","","0.23",""
"29"," Italy","0.21","","0.22","","0.19","","0.18","","0.18","","0.17","","0.16","","0.16","","0.16","","0.15",""
"101"," Jamaica","0.47","","0.45","","0.31","","0.32","","0.31","","0.33","","0.32","","0.31","","0.33","","0.30",""
"19"," Japan","0.27","","0.26","","0.25","","0.26","","0.27","","0.27","","0.26","","0.25","","0.24","","0.23",""
"102"," Jordan","0.39","","0.36","","0.28","","0.29","","0.32","","0.31","","0.32","","0.31","","0.31","","0.32",""
